113.190.218.171 - - [05/May/2017:14:09:21 +0700] "GET /WebBanHang/ HTTP/1.1" 200 89042
113.190.218.171 - - [05/May/2017:14:09:21 +0700] "GET /WebBanHang/null HTTP/1.1" 404 1024
46.174.191.32 - - [05/May/2017:14:12:23 +0700] "GET / HTTP/1.0" 404 994
91.236.75.4 - - [05/May/2017:16:48:40 +0700] "GET / HTTP/1.1" 404 994
14.184.121.147 - - [05/May/2017:17:24:29 +0700] "GET / HTTP/1.1" 404 994
14.184.121.147 - - [05/May/2017:17:24:30 +0700] "GET /HNAP1/ HTTP/1.1" 404 1006
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang HTTP/1.1" 302 -
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/ HTTP/1.1" 200 89042
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/css/bootstrap.css HTTP/1.1" 200 126692
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/js/jquery-1.8.2.min.js HTTP/1.1" 200 93439
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/js/owl.carousel.js HTTP/1.1" 200 54413
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/css/single.css HTTP/1.1" 200 6045
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/css/style.css HTTP/1.1" 200 16254
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/css/font-awesome.min.css HTTP/1.1" 200 31004
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/js/common.js HTTP/1.1" 200 21592
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/js/bootstrap.min.js HTTP/1.1" 200 29115
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/pictures/logo.jpg HTTP/1.1" 200 135384
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/css/nivo-slider.css HTTP/1.1" 200 2058
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/css/common.css HTTP/1.1" 200 1808
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/css/default.css HTTP/1.1" 200 2139
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/css/owl.theme.css HTTP/1.1" 200 1743
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/css/owl.carousel.css HTTP/1.1" 200 1547
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/css/jquery-ui.css HTTP/1.1" 200 38636
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/js/jquery.nivo.slider.js HTTP/1.1" 200 29774
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/js/jquery-ui.js HTTP/1.1" 200 539419
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/pictures/banner2.jpg HTTP/1.1" 200 62827
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/pictures/banner1.jpg HTTP/1.1" 200 30429
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/pictures/banner3.jpg HTTP/1.1" 200 24772
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/pictures/banner4.jpg HTTP/1.1" 200 42137
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/pictures/tv.gif HTTP/1.1" 200 110340
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/34996_pen_g4560.jpg HTTP/1.1" 200 134170
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/30904_ram_avexir_core_series__blue.jpg HTTP/1.1" 200 90280
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/31130_hyn_500.jpg HTTP/1.1" 200 211285
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/35117_gheg304_001.jpg HTTP/1.1" 200 50257
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/33656_gheg281_001.jpg HTTP/1.1" 200 49637
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/250_35322_ltas880_1.jpg HTTP/1.1" 200 101322
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/35212_01.jpg HTTP/1.1" 200 67354
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/34327_01.jpg HTTP/1.1" 200 58926
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/35614_33482_01.jpg HTTP/1.1" 200 65343
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/33260_01.jpeg HTTP/1.1" 200 49971
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/32208_pg348q.jpg HTTP/1.1" 200 68888
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/35642_14176672049278.jpg HTTP/1.1" 200 138892
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/35213_34702_01.jpg HTTP/1.1" 200 40995
